epoch,time,train/xy_loss,train/cls_loss,train/l1_loss,train/piou_loss,train/smooth_loss,metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),metrics/precision(C),metrics/recall(C),metrics/mAP50(C),metrics/mAP50-95(C),val/xy_loss,val/cls_loss,val/l1_loss,val/piou_loss,val/smooth_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
22,459.07,0.00037,1.17513,0.00428,0.36496,8e-05,0.60932,0.4123,0.4269,0.30047,0.02768,0.08558,0.01049,0.02132,0.0004,1.25525,0.00426,0.36268,0.00014,0.0268815,0.0089605,0.0268815,0.0089605,0.0268815,0.0089605,0.0268815,0.0089605
23,479.482,0.00037,1.15482,0.00421,0.36052,8e-05,0.48556,0.4997,0.46175,0.32443,0.02872,0.06512,0.01456,0.02851,0.00038,1.17895,0.00423,0.36015,0.00014,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
24,499.603,0.00036,1.12839,0.00419,0.3596,7e-05,0.50373,0.49213,0.46811,0.32921,0.02868,0.06192,0.01358,0.02701,0.00039,1.19767,0.00414,0.35675,0.00014,0.0265845,0.0088615,0.0265845,0.0088615,0.0265845,0.0088615,0.0265845,0.0088615
25,519.929,0.00036,1.11628,0.00414,0.35543,7e-05,0.46899,0.52414,0.46334,0.32454,0.02869,0.06321,0.01354,0.02686,0.00039,1.18474,0.00412,0.35442,0.00014,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
26,540.083,0.00036,1.11798,0.00414,0.35543,7e-05,0.47553,0.50878,0.45628,0.3213,0.03143,0.07849,0.01372,0.02794,0.00039,1.21132,0.00413,0.35649,0.00014,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625
27,560.418,0.00036,1.10477,0.00413,0.35464,6e-05,0.49923,0.49691,0.46937,0.33235,0.02748,0.0647,0.01412,0.02815,0.00039,1.15917,0.00408,0.35279,0.00013,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
28,580.713,0.00037,1.09549,0.00411,0.35338,6e-05,0.49517,0.52946,0.48912,0.34538,0.03167,0.06348,0.01375,0.02805,0.0004,1.17615,0.00411,0.35272,0.00014,0.0259905,0.0086635,0.0259905,0.0086635,0.0259905,0.0086635,0.0259905,0.0086635
29,600.98,0.00037,1.08104,0.00408,0.35144,6e-05,0.5124,0.50975,0.48484,0.3437,0.02902,0.06852,0.01382,0.02844,0.00039,1.14358,0.00403,0.34852,0.00014,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
30,621.196,0.00037,1.07516,0.00405,0.34894,6e-05,0.52446,0.53096,0.50365,0.35625,0.02819,0.06791,0.01453,0.02884,0.00039,1.13255,0.00402,0.34717,0.00014,0.0256935,0.0085645,0.0256935,0.0085645,0.0256935,0.0085645,0.0256935,0.0085645
31,641.467,0.00037,1.05606,0.00404,0.34833,5e-05,0.51061,0.51811,0.48516,0.34542,0.02916,0.07,0.01544,0.03111,0.00038,1.12712,0.00399,0.34546,0.00014,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
32,661.735,0.00036,1.05064,0.004,0.34658,5e-05,0.47847,0.53114,0.46167,0.32778,0.03246,0.06158,0.01312,0.02654,0.00038,1.2273,0.00398,0.34552,0.00014,0.0253965,0.0084655,0.0253965,0.0084655,0.0253965,0.0084655,0.0253965,0.0084655
33,682.036,0.00037,1.05416,0.00399,0.34528,5e-05,0.50058,0.52023,0.47741,0.33898,0.02643,0.06507,0.01263,0.02734,0.0004,1.19915,0.00401,0.34639,0.00014,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
34,702.231,0.00037,1.05083,0.004,0.3456,5e-05,0.52583,0.50659,0.48865,0.34718,0.02812,0.05982,0.01336,0.02742,0.00039,1.12885,0.00402,0.34551,0.00014,0.0250995,0.0083665,0.0250995,0.0083665,0.0250995,0.0083665,0.0250995,0.0083665
35,722.429,0.00037,1.03639,0.00398,0.34426,4e-05,0.51798,0.52617,0.49844,0.35684,0.03027,0.06395,0.01291,0.02735,0.00039,1.12306,0.00397,0.34358,0.00014,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
36,742.752,0.00038,1.02433,0.00396,0.34305,4e-05,0.53414,0.53922,0.5149,0.36707,0.03366,0.07319,0.01726,0.03272,0.0004,1.10298,0.0039,0.33899,0.00014,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675
37,762.981,0.00037,1.02014,0.00394,0.34123,4e-05,0.52018,0.52746,0.49477,0.35095,0.02709,0.06096,0.01246,0.02664,0.00039,1.15092,0.004,0.3444,0.00014,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
38,783.146,0.00037,1.01002,0.00395,0.34187,4e-05,0.52927,0.54073,0.51108,0.36413,0.02829,0.06971,0.01531,0.03021,0.0004,1.09885,0.00393,0.34147,0.00014,0.0245055,0.0081685,0.0245055,0.0081685,0.0245055,0.0081685,0.0245055,0.0081685
39,803.454,0.00037,1.00461,0.00393,0.3408,3e-05,0.49015,0.54194,0.48565,0.34561,0.02764,0.06805,0.01307,0.02728,0.00039,1.16769,0.00393,0.33932,0.00014,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
40,823.583,0.00037,0.98436,0.00393,0.34039,3e-05,0.52639,0.52485,0.50201,0.36047,0.03033,0.06661,0.01519,0.03142,0.00039,1.12958,0.00391,0.34016,0.00014,0.0242085,0.0080695,0.0242085,0.0080695,0.0242085,0.0080695,0.0242085,0.0080695
41,843.898,0.00036,0.98368,0.0039,0.33791,3e-05,0.53122,0.53192,0.50654,0.3633,0.02909,0.06772,0.01398,0.02859,0.00039,1.107,0.00386,0.33723,0.00014,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
42,864.018,0.00037,0.97266,0.00391,0.33804,2e-05,0.53548,0.53225,0.50762,0.36093,0.03015,0.06681,0.01382,0.03,0.00039,1.14772,0.0039,0.33946,0.00014,0.0239115,0.0079705,0.0239115,0.0079705,0.0239115,0.0079705,0.0239115,0.0079705
43,884.247,0.00037,0.97078,0.00388,0.33649,2e-05,0.54827,0.53577,0.52324,0.37454,0.03033,0.08091,0.01412,0.03004,0.0004,1.08603,0.00385,0.33567,0.00014,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
44,904.456,0.00038,0.9557,0.00387,0.33646,2e-05,0.53263,0.53025,0.50551,0.36354,0.02909,0.06189,0.01267,0.02675,0.00041,1.11326,0.00386,0.33464,0.00014,0.0236145,0.0078715,0.0236145,0.0078715,0.0236145,0.0078715,0.0236145,0.0078715
45,924.665,0.00038,0.94815,0.00386,0.33505,2e-05,0.55752,0.53027,0.52549,0.37697,0.02909,0.07599,0.01516,0.03051,0.00039,1.08392,0.00386,0.33522,0.00014,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
46,944.94,0.00036,0.95107,0.00386,0.33543,1e-05,0.50866,0.56086,0.51739,0.3711,0.03328,0.07407,0.01621,0.03193,0.00038,1.09096,0.00383,0.33451,0.00014,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725
47,965.131,0.00037,0.93945,0.00383,0.33289,1e-05,0.53952,0.5452,0.53039,0.38179,0.02981,0.09027,0.01653,0.03273,0.00039,1.06978,0.00382,0.33322,0.00014,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
48,985.332,0.00037,0.93429,0.00382,0.33344,1e-05,0.53793,0.54954,0.52544,0.37849,0.03052,0.07387,0.015,0.03117,0.00038,1.08122,0.0038,0.33211,0.00014,0.0230205,0.0076735,0.0230205,0.0076735,0.0230205,0.0076735,0.0230205,0.0076735
49,1005.57,0.00037,0.92962,0.00382,0.33296,1e-05,0.52692,0.54854,0.51705,0.37268,0.02969,0.0988,0.01638,0.03243,0.0004,1.09392,0.00382,0.33283,0.00014,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
50,1025.68,0.00036,0.91602,0.0038,0.33098,0,0.53752,0.54504,0.5207,0.37368,0.03462,0.07873,0.01772,0.03473,0.00039,1.08996,0.00381,0.33451,0.00014,0.0227235,0.0075745,0.0227235,0.0075745,0.0227235,0.0075745,0.0227235,0.0075745
51,1045.93,0.00038,0.91026,0.00378,0.33072,0,0.54528,0.55853,0.53171,0.38145,0.02882,0.07043,0.01451,0.03049,0.00039,1.07996,0.00379,0.33014,0.00014,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
52,1066.04,0.00037,0.90214,0.00379,0.32941,0,0.56388,0.55257,0.53831,0.38746,0.02999,0.07096,0.01445,0.03025,0.0004,1.07484,0.00381,0.33177,0.00014,0.0224265,0.0074755,0.0224265,0.0074755,0.0224265,0.0074755,0.0224265,0.0074755
