epoch,time,train/xy_loss,train/cls_loss,train/l1_loss,train/piou_loss,train/smooth_loss,metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),metrics/precision(C),metrics/recall(C),metrics/mAP50(C),metrics/mAP50-95(C),val/xy_loss,val/cls_loss,val/l1_loss,val/piou_loss,val/smooth_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
11,236.854,0.0004,1.3686,0.00463,0.39031,0.0001,0.41173,0.44083,0.37538,0.25183,0.0264,0.04956,0.00993,0.02161,nan,nan,nan,nan,nan,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
12,257.233,0.00038,1.34734,0.00456,0.38666,0.0001,0.37407,0.4336,0.35384,0.23814,0.0225,0.05986,0.00939,0.02088,nan,nan,nan,nan,nan,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555
13,277.66,0.00037,1.31452,0.00447,0.37847,0.0001,0.49174,0.45591,0.41481,0.28276,0.02832,0.05102,0.00974,0.02243,nan,nan,nan,nan,nan,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
14,298.024,0.00037,1.28154,0.00443,0.37554,0.0001,0.46154,0.47466,0.41827,0.28514,0.02561,0.05505,0.01028,0.02334,nan,nan,nan,nan,nan,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565
15,318.508,0.00036,1.27764,0.00437,0.37232,9e-05,0.44423,0.47079,0.41464,0.286,0.02972,0.06598,0.01402,0.02822,nan,nan,nan,nan,nan,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
16,338.992,0.00035,1.25484,0.00436,0.37055,9e-05,0.47236,0.43697,0.3855,0.2641,0.02747,0.0595,0.01094,0.02275,nan,nan,nan,nan,nan,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575
17,359.408,0.00035,1.22646,0.0043,0.3669,9e-05,0.47928,0.48249,0.44527,0.31052,0.03135,0.07544,0.01517,0.03202,nan,nan,nan,nan,nan,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
18,379.863,0.00033,1.20433,0.00425,0.36334,9e-05,0.4851,0.4924,0.44052,0.307,0.03268,0.06234,0.01285,0.02623,nan,nan,nan,nan,nan,0.0274755,0.0091585,0.0274755,0.0091585,0.0274755,0.0091585,0.0274755,0.0091585
19,400.255,0.00033,1.18622,0.00421,0.35996,9e-05,0.48611,0.48831,0.44975,0.31191,0.02764,0.06174,0.01174,0.02561,nan,nan,nan,nan,nan,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
20,420.606,0.00032,1.18145,0.00418,0.35792,8e-05,0.50641,0.46294,0.43777,0.30608,0.02704,0.06003,0.01116,0.02457,nan,nan,nan,nan,nan,0.0271785,0.0090595,0.0271785,0.0090595,0.0271785,0.0090595,0.0271785,0.0090595
21,441.372,0.00032,1.15979,0.00417,0.35791,8e-05,0.50542,0.51356,0.47503,0.33062,0.02882,0.06188,0.01342,0.02745,nan,nan,nan,nan,nan,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
22,461.653,0.00032,1.14803,0.00413,0.3554,8e-05,0.48965,0.49078,0.44139,0.30606,0.02592,0.04809,0.01111,0.02388,nan,nan,nan,nan,nan,0.0268815,0.0089605,0.0268815,0.0089605,0.0268815,0.0089605,0.0268815,0.0089605
23,482.052,0.00032,1.13209,0.00412,0.35354,8e-05,0.46086,0.51255,0.45115,0.31471,0.02747,0.05798,0.01168,0.02538,nan,nan,nan,nan,nan,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
24,502.31,0.00031,1.12205,0.00411,0.35282,7e-05,0.5027,0.50656,0.47916,0.33781,0.0276,0.06449,0.01273,0.0284,nan,nan,nan,nan,nan,0.0265845,0.0088615,0.0265845,0.0088615,0.0265845,0.0088615,0.0265845,0.0088615
25,522.667,0.0003,1.09896,0.00407,0.3507,7e-05,0.4966,0.52037,0.4752,0.33428,0.03039,0.08084,0.01474,0.03172,nan,nan,nan,nan,nan,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
26,543.042,0.00029,1.09607,0.00407,0.35086,7e-05,0.48792,0.50228,0.45816,0.32431,0.03156,0.06752,0.01382,0.02887,nan,nan,nan,nan,nan,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625
27,563.402,0.0003,1.08347,0.00406,0.34919,7e-05,0.52767,0.52766,0.49788,0.35337,0.03229,0.06609,0.01545,0.03188,nan,nan,nan,nan,nan,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
28,583.774,0.0003,1.06881,0.00402,0.34678,6e-05,0.49586,0.52187,0.48354,0.34209,0.02974,0.06226,0.01344,0.02793,nan,nan,nan,nan,nan,0.0259905,0.0086635,0.0259905,0.0086635,0.0259905,0.0086635,0.0259905,0.0086635
29,604.163,0.0003,1.07193,0.00401,0.34647,6e-05,0.50348,0.52649,0.48663,0.34436,0.02836,0.0637,0.0124,0.02746,nan,nan,nan,nan,nan,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
30,624.423,0.0003,1.04918,0.00398,0.3441,6e-05,0.50626,0.54844,0.50139,0.35268,0.02796,0.06748,0.01258,0.02751,nan,nan,nan,nan,nan,0.0256935,0.0085645,0.0256935,0.0085645,0.0256935,0.0085645,0.0256935,0.0085645
31,644.752,0.0003,1.04134,0.00397,0.34318,5e-05,0.519,0.52174,0.49818,0.35337,0.02853,0.08205,0.01431,0.03007,nan,nan,nan,nan,nan,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
32,665.099,0.00029,1.04289,0.00394,0.34139,5e-05,0.46965,0.5328,0.46408,0.32969,0.02677,0.05527,0.01165,0.02555,nan,nan,nan,nan,nan,0.0253965,0.0084655,0.0253965,0.0084655,0.0253965,0.0084655,0.0253965,0.0084655
33,685.418,0.00029,1.03455,0.00393,0.34071,5e-05,0.50839,0.51468,0.48837,0.34708,0.02336,0.06067,0.0116,0.02484,nan,nan,nan,nan,nan,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
34,705.701,0.0003,1.02506,0.00393,0.34043,5e-05,0.524,0.53614,0.50715,0.36054,0.02656,0.05908,0.0123,0.02692,nan,nan,nan,nan,nan,0.0250995,0.0083665,0.0250995,0.0083665,0.0250995,0.0083665,0.0250995,0.0083665
35,726,0.00029,1.00454,0.0039,0.33788,4e-05,0.51738,0.53502,0.50515,0.35992,0.02822,0.07513,0.01472,0.0293,nan,nan,nan,nan,nan,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
36,746.31,0.00031,0.9972,0.00389,0.33799,4e-05,0.54094,0.53228,0.51019,0.36256,0.02861,0.06733,0.01435,0.03085,nan,nan,nan,nan,nan,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675
37,766.694,0.0003,1.00113,0.00389,0.33769,4e-05,0.52764,0.54178,0.51412,0.36388,0.02704,0.06393,0.01357,0.02783,nan,nan,nan,nan,nan,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
38,787.063,0.0003,0.98701,0.00387,0.33611,4e-05,0.51114,0.5381,0.50677,0.36051,0.02906,0.09095,0.01588,0.03136,nan,nan,nan,nan,nan,0.0245055,0.0081685,0.0245055,0.0081685,0.0245055,0.0081685,0.0245055,0.0081685
39,807.506,0.0003,0.9734,0.00387,0.33655,3e-05,0.52563,0.54112,0.51068,0.36299,0.02916,0.06762,0.0142,0.02937,nan,nan,nan,nan,nan,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
40,827.829,0.0003,0.97036,0.00385,0.33463,3e-05,0.50037,0.52427,0.48722,0.34741,0.02899,0.06681,0.01434,0.02944,nan,nan,nan,nan,nan,0.0242085,0.0080695,0.0242085,0.0080695,0.0242085,0.0080695,0.0242085,0.0080695
41,848.108,0.00029,0.96381,0.00386,0.33465,3e-05,0.54217,0.5301,0.51532,0.3672,0.02288,0.22261,0.01628,0.03212,nan,nan,nan,nan,nan,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
42,868.403,0.00029,0.95359,0.00385,0.3338,2e-05,0.52779,0.53314,0.50597,0.36252,0.03162,0.0777,0.01647,0.03331,nan,nan,nan,nan,nan,0.0239115,0.0079705,0.0239115,0.0079705,0.0239115,0.0079705,0.0239115,0.0079705
43,888.657,0.00029,0.94911,0.00382,0.33188,2e-05,0.51545,0.54978,0.51526,0.3699,0.02524,0.25143,0.01762,0.03283,nan,nan,nan,nan,nan,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
44,908.923,0.0003,0.93302,0.00382,0.33223,2e-05,0.5377,0.55368,0.52848,0.37857,0.02272,0.22553,0.01611,0.03151,nan,nan,nan,nan,nan,0.0236145,0.0078715,0.0236145,0.0078715,0.0236145,0.0078715,0.0236145,0.0078715
45,929.165,0.00029,0.93397,0.00379,0.33037,2e-05,0.55218,0.53232,0.52378,0.37593,0.0236,0.22269,0.01685,0.03259,nan,nan,nan,nan,nan,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
46,949.517,0.00029,0.93146,0.0038,0.33092,1e-05,0.52893,0.57596,0.53954,0.38626,0.03163,0.10165,0.01648,0.03387,nan,nan,nan,nan,nan,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725
47,969.88,0.00029,0.90502,0.00379,0.33064,1e-05,0.54375,0.53718,0.52001,0.37301,0.02186,0.21663,0.01502,0.03109,nan,nan,nan,nan,nan,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
48,990.218,0.00028,0.90053,0.00377,0.32936,1e-05,0.54265,0.55247,0.53178,0.38089,0.03079,0.07493,0.01536,0.03281,nan,nan,nan,nan,nan,0.0230205,0.0076735,0.0230205,0.0076735,0.0230205,0.0076735,0.0230205,0.0076735
49,1010.47,0.00028,0.90212,0.00376,0.32845,1e-05,0.55086,0.54825,0.53346,0.38144,0.0233,0.22125,0.01606,0.03268,nan,nan,nan,nan,nan,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
50,1030.76,0.00028,0.88872,0.00375,0.32729,0,0.55643,0.52646,0.52049,0.37258,0.02713,0.27302,0.01971,0.03714,nan,nan,nan,nan,nan,0.0227235,0.0075745,0.0227235,0.0075745,0.0227235,0.0075745,0.0227235,0.0075745
51,1050.97,0.00028,0.88788,0.00375,0.32786,0,0.54928,0.54503,0.52721,0.37789,0.02432,0.23467,0.01701,0.03346,nan,nan,nan,nan,nan,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
52,1071.18,0.00027,0.88315,0.00373,0.32563,0,0.55004,0.54642,0.53025,0.38078,0.02906,0.10127,0.01624,0.03333,nan,nan,nan,nan,nan,0.0224265,0.0074755,0.0224265,0.0074755,0.0224265,0.0074755,0.0224265,0.0074755
53,1091.47,0.00028,0.87227,0.00374,0.32628,0,0.55108,0.55539,0.53976,0.389,0.0241,0.21386,0.01684,0.03322,nan,nan,nan,nan,nan,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
54,1111.58,0.00028,0.8639,0.00373,0.32528,0,0.57526,0.54863,0.55212,0.39579,0.02492,0.23144,0.018,0.03464,nan,nan,nan,nan,nan,0.0221295,0.0073765,0.0221295,0.0073765,0.0221295,0.0073765,0.0221295,0.0073765
55,1131.8,0.00027,0.85605,0.00372,0.3251,0,0.54913,0.54752,0.52501,0.37665,0.0264,0.10818,0.01447,0.03008,nan,nan,nan,nan,nan,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
56,1152.08,0.00028,0.85727,0.00367,0.32214,0,0.57462,0.54894,0.55011,0.3972,0.0273,0.23538,0.01943,0.03752,nan,nan,nan,nan,nan,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775
57,1172.58,0.00028,0.84736,0.00369,0.32366,0,0.54702,0.56199,0.54064,0.38799,0.02466,0.21872,0.0173,0.03366,nan,nan,nan,nan,nan,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
58,1192.9,0.00028,0.8403,0.00369,0.32284,0,0.56249,0.55947,0.54694,0.39183,0.02544,0.22258,0.01734,0.03355,nan,nan,nan,nan,nan,0.0215355,0.0071785,0.0215355,0.0071785,0.0215355,0.0071785,0.0215355,0.0071785
59,1213.14,0.00028,0.83609,0.00369,0.32269,0,0.56239,0.5559,0.54114,0.38814,0.02855,0.26319,0.02023,0.0384,nan,nan,nan,nan,nan,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
60,1233.34,0.00027,0.8141,0.00367,0.32119,0,0.57154,0.5497,0.54618,0.39262,0.02422,0.22844,0.01716,0.03301,nan,nan,nan,nan,nan,0.0212385,0.0070795,0.0212385,0.0070795,0.0212385,0.0070795,0.0212385,0.0070795
61,1253.61,0.00028,0.81996,0.00365,0.32061,0,0.5573,0.55467,0.53892,0.38829,0.03065,0.15924,0.01862,0.03627,nan,nan,nan,nan,nan,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
62,1273.77,0.00028,0.81344,0.00366,0.32044,0,0.57071,0.5446,0.54738,0.39402,0.03007,0.13483,0.01738,0.03408,nan,nan,nan,nan,nan,0.0209415,0.0069805,0.0209415,0.0069805,0.0209415,0.0069805,0.0209415,0.0069805
63,1294,0.00028,0.80055,0.00364,0.31938,0,0.5585,0.57736,0.55568,0.39905,0.02783,0.25374,0.02004,0.03746,nan,nan,nan,nan,nan,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
64,1314.22,0.00027,0.79562,0.00364,0.31967,0,0.55666,0.56507,0.55319,0.39843,0.02462,0.22191,0.01734,0.03497,nan,nan,nan,nan,nan,0.0206445,0.0068815,0.0206445,0.0068815,0.0206445,0.0068815,0.0206445,0.0068815
65,1334.43,0.00027,0.78283,0.00362,0.31857,0,0.56224,0.5579,0.54674,0.39197,0.03078,0.12496,0.01697,0.03329,nan,nan,nan,nan,nan,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
66,1354.54,0.00027,0.77946,0.00361,0.31806,0,0.58306,0.54015,0.55217,0.39784,0.02519,0.2008,0.01713,0.03347,nan,nan,nan,nan,nan,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825
67,1374.72,0.00027,0.76841,0.0036,0.31684,0,0.569,0.55439,0.55003,0.39738,0.03058,0.24749,0.02125,0.03928,nan,nan,nan,nan,nan,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
68,1394.87,0.00028,0.76866,0.00359,0.31573,0,0.57015,0.55666,0.54752,0.39424,0.02682,0.23796,0.01925,0.03773,nan,nan,nan,nan,nan,0.0200505,0.0066835,0.0200505,0.0066835,0.0200505,0.0066835,0.0200505,0.0066835
69,1415.04,0.00028,0.75505,0.0036,0.31694,0,0.56764,0.57054,0.55415,0.39866,0.02557,0.22895,0.01804,0.03659,nan,nan,nan,nan,nan,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
70,1435.14,0.00029,0.74973,0.00358,0.31579,0,0.53712,0.58653,0.55382,0.39627,0.02574,0.19608,0.01705,0.03382,nan,nan,nan,nan,nan,0.0197535,0.0065845,0.0197535,0.0065845,0.0197535,0.0065845,0.0197535,0.0065845
71,1455.34,0.00028,0.7436,0.00358,0.31522,0,0.57904,0.55405,0.55308,0.39687,0.03009,0.25868,0.02111,0.03925,nan,nan,nan,nan,nan,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
72,1475.49,0.00028,0.73073,0.00356,0.31426,0,0.56092,0.55391,0.54753,0.3942,0.02761,0.20895,0.01926,0.03728,nan,nan,nan,nan,nan,0.0194565,0.0064855,0.0194565,0.0064855,0.0194565,0.0064855,0.0194565,0.0064855
73,1495.63,0.00028,0.72462,0.00355,0.31344,0,0.57692,0.56554,0.5613,0.404,0.02849,0.22357,0.01964,0.03707,nan,nan,nan,nan,nan,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
74,1515.84,0.00028,0.7242,0.00355,0.31273,0,0.57582,0.55502,0.55516,0.40018,0.03181,0.26676,0.02294,0.04171,nan,nan,nan,nan,nan,0.0191595,0.0063865,0.0191595,0.0063865,0.0191595,0.0063865,0.0191595,0.0063865
75,1535.98,0.00027,0.71907,0.00355,0.31285,0,0.57956,0.5725,0.56899,0.40786,0.02994,0.23673,0.02082,0.03761,nan,nan,nan,nan,nan,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
76,1556.05,0.00027,0.71183,0.00354,0.31258,0,0.57999,0.56392,0.55736,0.40039,0.02844,0.22356,0.01944,0.0379,nan,nan,nan,nan,nan,0.0188625,0.0062875,0.0188625,0.0062875,0.0188625,0.0062875,0.0188625,0.0062875
77,1576.18,0.00028,0.69952,0.00352,0.31133,0,0.58297,0.55912,0.56085,0.40231,0.02993,0.23275,0.02041,0.03885,nan,nan,nan,nan,nan,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
78,1596.17,0.00028,0.69277,0.00355,0.31211,0,0.57439,0.56469,0.55546,0.39962,0.02836,0.21137,0.01916,0.0367,nan,nan,nan,nan,nan,0.0185655,0.0061885,0.0185655,0.0061885,0.0185655,0.0061885,0.0185655,0.0061885
79,1616.27,0.00028,0.68544,0.00352,0.31035,0,0.55996,0.57459,0.56096,0.40391,0.02707,0.19636,0.01802,0.03489,nan,nan,nan,nan,nan,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
80,1636.35,0.00027,0.67381,0.00351,0.31,0,0.57755,0.57042,0.56038,0.40251,0.02937,0.21216,0.01955,0.0378,nan,nan,nan,nan,nan,0.0182685,0.0060895,0.0182685,0.0060895,0.0182685,0.0060895,0.0182685,0.0060895
81,1656.36,0.00027,0.67014,0.00351,0.30967,0,0.57912,0.56175,0.5554,0.39934,0.02847,0.20074,0.01891,0.03725,nan,nan,nan,nan,nan,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
82,1676.42,0.00027,0.66187,0.0035,0.30877,0,0.56943,0.55972,0.55522,0.39838,0.03072,0.23726,0.02085,0.03799,nan,nan,nan,nan,nan,0.0179715,0.0059905,0.0179715,0.0059905,0.0179715,0.0059905,0.0179715,0.0059905
83,1696.61,0.00027,0.66123,0.00348,0.30694,0,0.57355,0.5701,0.55745,0.40046,0.0288,0.20892,0.01931,0.03695,nan,nan,nan,nan,nan,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
84,1716.63,0.00028,0.65237,0.00349,0.30821,0,0.58183,0.56002,0.56235,0.40317,0.02884,0.20787,0.01926,0.03737,nan,nan,nan,nan,nan,0.0176745,0.0058915,0.0176745,0.0058915,0.0176745,0.0058915,0.0176745,0.0058915
85,1736.67,0.00028,0.64717,0.00347,0.30739,0,0.57481,0.56081,0.55644,0.40041,0.03098,0.21194,0.02094,0.03969,nan,nan,nan,nan,nan,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
86,1756.7,0.00027,0.64279,0.00346,0.30735,0,0.58369,0.56018,0.55615,0.39872,0.02889,0.21224,0.01947,0.03763,nan,nan,nan,nan,nan,0.0173775,0.0057925,0.0173775,0.0057925,0.0173775,0.0057925,0.0173775,0.0057925
87,1776.77,0.00027,0.63213,0.00345,0.3057,0,0.56861,0.56167,0.55505,0.39895,0.03323,0.24182,0.0228,0.04261,nan,nan,nan,nan,nan,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
88,1796.78,0.00027,0.63129,0.00345,0.30601,0,0.57563,0.56566,0.55538,0.3997,0.03116,0.20967,0.0213,0.04023,nan,nan,nan,nan,nan,0.0170805,0.0056935,0.0170805,0.0056935,0.0170805,0.0056935,0.0170805,0.0056935
89,1816.9,0.00027,0.61871,0.00344,0.30437,0,0.58346,0.56261,0.56406,0.40403,0.0324,0.23172,0.02219,0.04069,nan,nan,nan,nan,nan,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
90,1836.97,0.00028,0.6203,0.00343,0.30471,0,0.58325,0.55664,0.55697,0.40003,0.03112,0.22184,0.02104,0.04017,nan,nan,nan,nan,nan,0.0167835,0.0055945,0.0167835,0.0055945,0.0167835,0.0055945,0.0167835,0.0055945
91,1857.01,0.00028,0.6131,0.00343,0.30439,0,0.57997,0.56276,0.55727,0.3994,0.03158,0.22178,0.02127,0.04021,nan,nan,nan,nan,nan,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
92,1876.95,0.00029,0.60343,0.00341,0.3033,0,0.58386,0.56112,0.5597,0.40161,0.03251,0.21855,0.02191,0.04083,nan,nan,nan,nan,nan,0.0164865,0.0054955,0.0164865,0.0054955,0.0164865,0.0054955,0.0164865,0.0054955
93,1897.06,0.00028,0.59798,0.0034,0.3021,0,0.57547,0.56681,0.55859,0.40211,0.03135,0.20615,0.02125,0.0396,nan,nan,nan,nan,nan,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
94,1917.1,0.00027,0.59347,0.0034,0.30229,0,0.58329,0.55798,0.55459,0.39766,0.03309,0.22281,0.02256,0.04214,nan,nan,nan,nan,nan,0.0161895,0.0053965,0.0161895,0.0053965,0.0161895,0.0053965,0.0161895,0.0053965
95,1937.08,0.00027,0.58883,0.00338,0.30094,0,0.57086,0.56135,0.55066,0.39439,0.03188,0.21497,0.02205,0.04,nan,nan,nan,nan,nan,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
96,1957.06,0.00027,0.58332,0.0034,0.30125,0,0.58575,0.56074,0.55846,0.40106,0.03094,0.21806,0.02136,0.04003,nan,nan,nan,nan,nan,0.0158925,0.0052975,0.0158925,0.0052975,0.0158925,0.0052975,0.0158925,0.0052975
97,1977.03,0.00028,0.57609,0.00337,0.30009,0,0.57413,0.56632,0.55612,0.39809,0.03425,0.21696,0.02296,0.04212,nan,nan,nan,nan,nan,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
98,1997.04,0.00028,0.5743,0.00337,0.30002,0,0.57576,0.56512,0.55432,0.39754,0.03227,0.20972,0.02141,0.03958,nan,nan,nan,nan,nan,0.0155955,0.0051985,0.0155955,0.0051985,0.0155955,0.0051985,0.0155955,0.0051985
99,2017.1,0.00028,0.56684,0.00336,0.29896,0,0.58523,0.55759,0.55619,0.39903,0.03201,0.20972,0.02219,0.0402,nan,nan,nan,nan,nan,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
100,2037.19,0.00027,0.56435,0.00336,0.29904,0,0.57441,0.5639,0.55363,0.39723,0.03392,0.22032,0.02252,0.04201,nan,nan,nan,nan,nan,0.0152985,0.0050995,0.0152985,0.0050995,0.0152985,0.0050995,0.0152985,0.0050995
101,2057.33,0.00027,0.5546,0.00333,0.2973,0,0.57932,0.56775,0.5554,0.39754,0.03017,0.20856,0.02033,0.03875,nan,nan,nan,nan,nan,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
102,2077.26,0.00028,0.55937,0.00333,0.29754,0,0.58458,0.56424,0.56002,0.40008,0.03351,0.21708,0.02247,0.04079,nan,nan,nan,nan,nan,0.0150015,0.0050005,0.0150015,0.0050005,0.0150015,0.0050005,0.0150015,0.0050005
103,2097.26,0.00028,0.54697,0.00334,0.29754,0,0.58667,0.55948,0.55828,0.40026,0.0341,0.2162,0.02258,0.04106,nan,nan,nan,nan,nan,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
104,2117.2,0.00029,0.54305,0.00333,0.29639,0,0.5745,0.56529,0.55563,0.39785,0.03175,0.19506,0.02127,0.03897,nan,nan,nan,nan,nan,0.0147045,0.0049015,0.0147045,0.0049015,0.0147045,0.0049015,0.0147045,0.0049015
105,2137.27,0.00028,0.53459,0.00331,0.29561,0,0.58003,0.56533,0.56028,0.40084,0.03382,0.20001,0.02273,0.04051,nan,nan,nan,nan,nan,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
