epoch,time,train/xy_loss,train/cls_loss,train/l1_loss,train/piou_loss,train/smooth_loss,metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),metrics/precision(C),metrics/recall(C),metrics/mAP50(C),metrics/mAP50-95(C),val/xy_loss,val/cls_loss,val/l1_loss,val/piou_loss,val/smooth_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,30.1154,0.00071,3.08542,0.01398,0.81824,0.00044,0.01259,0.11307,0.01769,0.00818,0.0069,0.09542,0.00437,0.00868,nan,nan,nan,nan,nan,0.00993976,0.00331325,0.00993976,0.00331325,0.0768072,0.0701807,0.00993976,0.00331325
2,52.6451,0.00075,2.2514,0.01002,0.68979,0.00013,0.35024,0.11696,0.0635,0.03381,0.22105,0.04255,0.00733,0.01564,nan,nan,nan,nan,nan,0.0198411,0.00661369,0.0198411,0.00661369,0.0533752,0.0401478,0.0198411,0.00661369
3,73.6307,0.00073,1.86816,0.00925,0.65546,0.00014,0.39787,0.19706,0.12104,0.06883,0.22265,0.04425,0.00877,0.01819,nan,nan,nan,nan,nan,0.0296434,0.00988112,0.0296434,0.00988112,0.0298442,0.0100819,0.0296434,0.00988112
4,93.8894,0.00067,1.72582,0.00768,0.56777,0.00015,0.44716,0.24546,0.18233,0.1099,0.2243,0.04893,0.00848,0.01986,nan,nan,nan,nan,nan,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515
5,114.275,0.00058,1.62955,0.00648,0.50596,0.00013,0.47501,0.30576,0.23828,0.1511,0.22204,0.05497,0.00891,0.01995,nan,nan,nan,nan,nan,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
6,134.607,0.00053,1.59025,0.00576,0.46444,0.00012,0.50285,0.32073,0.26847,0.16659,0.2202,0.05034,0.00817,0.01765,nan,nan,nan,nan,nan,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525
7,154.885,0.00051,1.5374,0.00532,0.43861,0.00011,0.52557,0.33406,0.29544,0.18851,0.02064,0.05457,0.00969,0.0204,nan,nan,nan,nan,nan,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
8,175.324,0.00047,1.49879,0.00513,0.42475,0.00011,0.5273,0.35644,0.3133,0.20355,0.03652,0.06531,0.01081,0.02324,nan,nan,nan,nan,nan,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535
9,195.79,0.00045,1.4517,0.0049,0.40941,0.00011,0.38793,0.42497,0.349,0.22771,0.02749,0.05673,0.01138,0.02399,nan,nan,nan,nan,nan,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
10,216.366,0.00041,1.41838,0.00475,0.39825,0.0001,0.49274,0.41311,0.37378,0.24981,0.02971,0.06373,0.01023,0.02275,nan,nan,nan,nan,nan,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545
